DATE,OPEN,HIGH,LOW,CLOSE,VOLUME
20120102,4638,4638,4616.05,4626.2,212950
20120102,4626,4628,4622.3,4625.3,107550
20120102,4625.3,4635.55,4625.3,4635.55,81950
20120102,4635.7,4639.7,4634,4638.2,79350
20120102,4638.5,4639.9,4637.45,4638.9,72100
20120102,4638.05,4645.25,4638,4643,100700
20120102,4642.5,4643,4637,4637.65,65450
20120102,4636.45,4638,4634.25,4637.35,46150
20120102,4638.5,4642.1,4637.9,4637.9,51850
20120102,4638,4640.55,4635.7,4640.5,39450
20120102,4640.05,4640.7,4637.1,4637.1,27350
20120102,4637.1,4639.8,4636,4639.75,35550
20120102,4638.6,4644.85,4638.6,4644,43450
20120102,4643.9,4649.7,4641.95,4648.4,96750
20120102,4648.2,4649.8,4646.1,4646.15,52700
20120102,4646.55,4652,4646.55,4650.95,114250
20120102,4650.65,4656,4650.4,4653.25,114500
20120102,4653.25,4653.25,4649.15,4650,72300
20120102,4650.15,4651.6,4645,4645.3,44300
20120102,4645.1,4649,4645.1,4645.75,29500
20120102,4645.75,4647.8,4645.2,4647,31400
20120102,4646.4,4647.95,4645,4647.95,42200
20120102,4647.95,4651,4647.95,4649.35,21850
20120102,4651,4651.6,4648.2,4649.15,24900
20120102,4647.5,4649.3,4645,4645.05,38500
20120102,4645.05,4649,4644,4648,27150
20120102,4648,4649,4648,4648,22900
20120102,4648.1,4653,4646.25,4653,28900
20120102,4653,4654.1,4651.45,4653.25,42200
20120102,4651.9,4653,4649,4649.25,33650
20120102,4649.75,4650,4648.9,4649.5,22800
20120102,4649.95,4652,4648.35,4649.05,16750
20120102,4649,4650.95,4645.8,4646.3,34950
20120102,4646.9,4647.7,4645.4,4646.05,12950
20120102,4645.5,4646.95,4644.05,4646.7,35300
20120102,4646.65,4647.3,4644.85,4645.7,28800
20120102,4645.15,4645.95,4644.85,4645.4,13500
20120102,4644.95,4645.5,4640.1,4641,51150
20120102,4641,4641,4636,4637,68700
20120102,4636.3,4639.75,4636,4637.8,30900
20120102,4638,4638.05,4633.55,4634,45650
20120102,4634,4638.2,4634,4638,30900
20120102,4638,4638.15,4635.85,4636.95,15050
20120102,4636.2,4637,4633.1,4633.1,16950
20120102,4632.5,4633.3,4628.3,4631,80350
20120102,4631.05,4632,4629.5,4629.5,34150
20120102,4629.45,4630.5,4628,4629.45,23800
20120102,4630.5,4633.7,4630,4633,22200
20120102,4633,4633.8,4632,4632.9,13600
20120102,4632.9,4633,4632,4632.95,19950
20120102,4632.9,4632.95,4623,4623,90500
20120102,4622.1,4625,4622.1,4622.2,70850
20120102,4622.85,4623,4618.35,4620.3,109700
20120102,4619.2,4624,4619.2,4622.35,35900
20120102,4622.4,4624.95,4622.4,4623.9,21550
20120102,4624,4624,4621.35,4623,19500
20120102,4622.1,4628.65,4622.1,4628.65,19800
20120102,4628.65,4629,4626,4628,17350
20120102,4628.65,4629.85,4627,4627,18550
20120102,4627.25,4629.9,4626.85,4629.5,12200
20120102,4629.1,4629.65,4627.05,4627.05,8850
20120102,4627.05,4628,4626.3,4626.3,8750
20120102,4627.5,4627.85,4626.15,4627.15,8000
20120102,4627.5,4628,4626,4626,8050
20120102,4625.5,4626.35,4623.35,4623.35,10850
20120102,4623.4,4623.9,4621.6,4621.6,15200
20120102,4621.6,4622.75,4619.05,4620.35,37000
20120102,4621.35,4622.5,4617.1,4617.65,35500
20120102,4618,4619.9,4616.6,4619.9,36350
20120102,4619.9,4622.75,4619,4621,48800
20120102,4621,4623,4619.95,4621,39450
20120102,4620.7,4624.5,4620.7,4623.75,19300
20120102,4624.95,4626.7,4624,4625,19000
20120102,4624.4,4628.6,4624.4,4627,26600
20120102,4626.4,4628.75,4626.4,4628.75,11700
20120102,4628,4628.8,4625.9,4627,9550
20120102,4627,4627,4625.75,4626.9,9350
20120102,4627,4628.5,4627,4628.5,9950
20120102,4628.5,4631.9,4628.5,4631.8,21100
20120102,4631.65,4631.65,4623,4625.6,24450
20120102,4625.6,4626,4623.5,4626,17200
20120102,4626,4627,4625.75,4626.35,6200
20120102,4626,4626.7,4624,4625,13600
20120102,4624.25,4626,4622,4622,11350
20120102,4622,4623.5,4620,4620.9,18650
20120102,4620.95,4621,4619,4620,17550
20120102,4620,4622,4619.6,4621.6,13400
20120102,4622.3,4628,4622,4627.7,24400
20120102,4627.7,4630,4626.1,4627.45,37600
20120102,4627.5,4628.2,4627.45,4627.45,9450
20120102,4627.45,4630.95,4627.4,4630,20650
20120102,4630.9,4632.95,4630,4630,31350
20120102,4630,4630.5,4628,4628,11950
20120102,4628,4630,4627.8,4629,9200
20120102,4629,4629.6,4626.05,4626.1,7550
20120102,4625.65,4626.2,4625,4626,13700
20120102,4627.45,4628.75,4626,4627.7,6700
20120102,4628,4630,4628,4629.5,6550
20120102,4628.3,4631.9,4628.3,4631,13400
20120102,4631,4632.35,4630.45,4632.35,21300
20120102,4632.35,4637,4632.35,4636.85,42200
20120102,4636.05,4636.8,4634.95,4636.5,35650
20120102,4636.85,4637.5,4635.2,4635.5,34700
20120102,4635.5,4635.5,4631,4631,18900
20120102,4631.3,4631.35,4629.5,4630,14550
20120102,4630,4630.2,4629,4630,10950
20120102,4630.5,4630.5,4629.6,4630.05,2850
20120102,4630.45,4633.65,4630.45,4632.65,10400
20120102,4633,4633,4630.5,4630.6,6300
20120102,4630.9,4631,4627.05,4627.05,10350
20120102,4627.05,4629.4,4627,4629,8850
20120102,4629.4,4633,4629,4633,15200
20120102,4633.65,4636,4633.65,4634.25,21900
20120102,4635,4635.05,4634,4634.35,11750
20120102,4634,4634.5,4631,4632,17550
20120102,4631.2,4632.4,4631,4631.2,4950
20120102,4630.95,4633.85,4630.55,4633.85,10250
20120102,4633.85,4634.95,4632.05,4632.05,11050
20120102,4632.05,4636.75,4632,4635,21350
20120102,4635.15,4635.75,4628.7,4629,30950
20120102,4629,4631.25,4628,4631.25,9500
20120102,4630.25,4630.95,4629,4629.15,8200
20120102,4629.15,4630,4629,4629,5900
20120102,4629,4629,4625,4625,21200
20120102,4624.05,4625,4621,4622,35500
20120102,4620.95,4623,4619.8,4622.6,34700
20120102,4623,4624,4622,4622.5,9400
20120102,4622,4625.6,4621.65,4624,15400
20120102,4625,4626.5,4624,4624,7500
20120102,4623.75,4625.05,4623,4623.25,12950
20120102,4623.25,4623.85,4620.35,4621,17800
20120102,4620.6,4623.7,4618.7,4623.5,32600
20120102,4623.8,4626.45,4623.05,4626.05,14800
20120102,4626,4627.05,4625,4626.85,8500
20120102,4626,4626,4623.3,4624.2,5250
20120102,4623.45,4625.45,4623,4625.45,3050
20120102,4625.05,4625.05,4620.35,4621.1,16950
20120102,4623,4624,4621.55,4624,6250
20120102,4625,4625,4619.5,4620,20400
20120102,4620.95,4621.05,4611.6,4615.1,259700
20120102,4616.3,4617,4613.5,4613.9,52700
20120102,4613.95,4615,4612.15,4613.6,59950
20120102,4614,4615.85,4613.2,4615.85,46750
20120102,4615.45,4619.35,4615.45,4617,43600
20120102,4616.5,4618.3,4615.1,4617.5,14050
20120102,4617.5,4619.95,4617,4617,14450
20120102,4616.9,4617.75,4615.3,4617,11150
20120102,4616.4,4616.6,4615,4615.1,9250
20120102,4615.2,4616,4614.4,4615,12250
20120102,4614.5,4616,4614.15,4616,16000
20120102,4615.5,4616,4613.2,4613.25,15850
20120102,4613.55,4613.95,4607.35,4607.5,128550
20120102,4607.9,4608.5,4606.2,4607,127450
20120102,4607,4610,4605.2,4609.9,85650
20120102,4609.7,4610.95,4609.05,4609.5,36600
20120102,4609.15,4609.9,4608,4608.15,22650
20120102,4609,4610.5,4607.1,4607.9,29400
20120102,4607.2,4607.2,4602.55,4605,100900
20120102,4604,4607.7,4603,4607.7,30200
20120102,4607.7,4610,4607.7,4609,26550
20120102,4609.9,4609.9,4607,4607.7,20450
20120102,4607.75,4607.8,4605,4605,30150
20120102,4605.1,4607,4604.1,4606.95,22250
20120102,4606.9,4606.95,4605.6,4606.95,16850
20120102,4606.95,4607.5,4605.1,4607.25,11300
20120102,4607.25,4609.8,4607.05,4608.95,22050
20120102,4609,4610,4607.5,4609.7,8700
20120102,4610,4611.8,4609.1,4611.1,25700
20120102,4611.1,4612.65,4610,4610.2,25850
20120102,4610,4610.8,4608.35,4609.8,6450
20120102,4609.95,4610.25,4608.5,4610,7500
20120102,4609.95,4610.8,4609.05,4610.65,6000
20120102,4610.15,4611,4610,4611,16950
20120102,4611,4611.95,4610,4610,12200
20120102,4610.5,4610.5,4608.1,4609.5,9700
20120102,4608.5,4609.4,4606.95,4606.95,10950
20120102,4606.5,4606.5,4605.2,4606.4,15100
20120102,4606.4,4608,4606.1,4607.1,10300
20120102,4607.2,4607.95,4604.95,4605,22150
20120102,4604.4,4605,4601.1,4601.1,68100
20120102,4601.05,4603,4598.35,4600.1,177800
20120102,4600.35,4600.65,4597.7,4599,113750
20120102,4599.3,4600.35,4597.6,4599.05,66350
20120102,4598.25,4599.8,4592.4,4592.4,160100
20120102,4593.85,4597.3,4592.5,4597,56850
20120102,4597.6,4599.7,4596.4,4599.65,22000
20120102,4599.5,4602.4,4599,4601.8,39350
20120102,4601.7,4603,4600.45,4601.1,28450
20120102,4601.5,4603.65,4600.7,4603.6,18350
20120102,4603,4603.05,4601,4601,22000
20120102,4601,4602.15,4599.6,4599.6,17550
20120102,4599,4603,4598.35,4603,18200
20120102,4603.25,4605,4602.95,4603.7,32750
20120102,4603,4604.9,4603,4604.9,12650
20120102,4604.9,4605,4603.2,4604.15,15550
20120102,4604.95,4608.7,4604.15,4608,44950
20120102,4608.4,4608.5,4606.2,4606.95,21150
20120102,4607,4608,4606.2,4608,13700
20120102,4608,4608,4606.95,4607.4,6750
20120102,4606.95,4608.3,4606.35,4607.3,9150
20120102,4607.25,4607.9,4605.6,4605.65,39900
20120102,4606,4606.45,4605.5,4605.85,27450
20120102,4605.3,4605.7,4603.25,4603.65,16550
20120102,4603.65,4604.55,4602.5,4602.6,11050
20120102,4603.2,4604,4602.7,4603.95,11750
20120102,4603.95,4605,4602.9,4605,6100
20120102,4605,4607.5,4605,4607,8950
20120102,4607,4609,4607,4609,16350
20120102,4609,4610.3,4609,4610,37400
20120102,4609.9,4610.4,4609,4609,11850
20120102,4609.2,4609.7,4603.1,4603.3,37050
20120102,4603.5,4605.45,4603.45,4604.95,17050
20120102,4604.8,4604.8,4601,4604.65,21050
20120102,4604.5,4605.6,4604,4605.6,12650
20120102,4605.6,4609.3,4605,4608.9,11300
20120102,4608.9,4609.3,4607,4608.35,8550
20120102,4609,4610.7,4608.55,4610.7,27500
20120102,4611.95,4612,4609.65,4611,16850
20120102,4609.65,4611.95,4609.65,4611.95,9150
20120102,4612,4616,4611.9,4614.1,60900
20120102,4615,4618.4,4614.95,4617.45,69550
20120102,4617,4617,4614.6,4615.8,34700
20120102,4616,4617,4615,4615.85,15000
20120102,4615.4,4616.15,4615.1,4616,9800
20120102,4615.95,4618.7,4615.5,4618.7,16600
20120102,4618.3,4619.8,4618.3,4619,26800
20120102,4619,4619.9,4618.1,4619.85,21700
20120102,4619.1,4621.9,4619,4621.7,44500
20120102,4621.1,4624.85,4621,4623,66000
20120102,4623,4623,4620,4620,57550
20120102,4620.9,4621.5,4620,4620,36400
20120102,4620,4620.55,4617.3,4619,38050
20120102,4619,4620,4618.05,4618.45,15500
20120102,4618.15,4629,4618.15,4629,127550
20120102,4628.6,4629.6,4625.15,4627.1,77700
20120102,4627.1,4627.1,4624,4625.35,57300
20120102,4626,4628.05,4625.3,4627.65,30800
20120102,4628.35,4632.3,4628.05,4632,96800
20120102,4632,4632,4630.1,4630.15,55050
20120102,4630.4,4630.95,4628.2,4628.2,52350
20120102,4628.2,4632,4628,4631.4,33300
20120102,4632,4636.7,4632,4636.5,91400
20120102,4636.8,4637,4632,4632.1,68300
20120102,4632,4632,4628.15,4629,43200
20120102,4629,4632,4628.15,4631.2,18850
20120102,4631.2,4633.5,4630.15,4630.25,28300
20120102,4630.1,4630.65,4628,4628.05,31100
20120102,4628.05,4628.65,4626.1,4626.25,34450
20120102,4626.1,4628.85,4625.25,4626.6,44000
20120102,4627,4628,4627,4627.9,14750
20120102,4627.5,4627.95,4622.55,4622.55,38550
20120102,4622.55,4623,4621.3,4622,40600
20120102,4621.9,4622.35,4620.5,4622,31200
20120102,4622,4623.9,4621.75,4621.75,13100
20120102,4621.75,4621.75,4617.3,4618,47900
20120102,4618.5,4624.15,4618,4623,22550
20120102,4622.7,4623.85,4620.85,4623.8,17050
20120102,4623.75,4624.85,4618.15,4618.15,28200
20120102,4620,4621.7,4618.5,4621.45,17300
20120102,4621,4623.5,4620,4622.25,15550
20120102,4623.35,4628,4623.2,4627.8,29150
20120102,4627,4628,4624.2,4624.9,36100
20120102,4625,4630.5,4624.5,4630.5,32650
20120102,4631,4636.95,4631,4632.35,113500
20120102,4632.35,4644.7,4631.3,4642,246300
20120102,4642,4642,4640,4640.3,89300
20120102,4640,4640,4636.5,4636.5,50150
20120102,4637,4638,4635.2,4636.55,25100
20120102,4636.9,4637.85,4633.55,4633.55,43750
20120102,4634.55,4635.15,4631,4632,29950
20120102,4632,4635.45,4632,4632.15,15050
20120102,4633,4635,4632,4632.05,11450
20120102,4633,4634,4631.45,4631.45,16800
20120102,4631,4631,4625,4625.05,51050
20120102,4625.3,4626.75,4622.2,4626,37600
20120102,4626,4628,4625.4,4627.7,14000
20120102,4627.3,4628.9,4625.3,4627,11250
20120102,4626.95,4628,4625.5,4627.75,5750
20120102,4627,4628,4627,4627.95,3400
20120102,4628,4629,4627.5,4628.9,9350
20120102,4629,4631,4628.7,4631,15000
20120102,4632,4633,4631.15,4632.8,11250
20120102,4632.45,4637,4632.05,4633.8,59100
20120102,4633.85,4633.85,4628.95,4629,15000
20120102,4628.7,4630,4627.3,4630,14300
20120102,4630,4634.8,4629.45,4634.7,13150
20120102,4634.85,4635,4631.3,4633.5,29800
20120102,4634,4634.35,4633,4633.1,10600
20120102,4633.1,4633.1,4628.2,4630,18150
20120102,4628.5,4630,4627.7,4628,9600
20120102,4628,4630,4628,4629.9,10200
20120102,4629.25,4632,4629.25,4630.9,12550
20120102,4631.8,4631.8,4626.35,4626.35,15150
20120102,4626.2,4627.6,4625.25,4626.3,26250
20120102,4626.75,4627.4,4625,4625,10350
20120102,4625,4625,4620.45,4621,47350
20120102,4620.25,4621,4608.3,4612,229550
20120102,4611.9,4612.55,4608.4,4611.2,93200
20120102,4611.5,4615.75,4611.45,4614.75,56600
20120102,4614.75,4615,4611.05,4611.6,25950
20120102,4612.75,4615,4610.6,4614.3,28650
20120102,4615,4618.85,4614.45,4617,46550
20120102,4617,4618,4615.55,4616.7,26300
20120102,4616.7,4621.85,4616,4620.6,34100
20120102,4621.75,4621.75,4618.25,4618.25,24000
20120102,4618.1,4621.9,4618.05,4621.7,19600
20120102,4621.9,4626.9,4621,4626.9,34200
20120102,4626.9,4632.65,4626.8,4628.9,104250
20120102,4628.9,4629.7,4626.15,4627.05,27400
20120102,4627.25,4632.5,4626.2,4631,31300
20120102,4631,4640.1,4630.35,4637,134400
20120102,4637.8,4643.7,4637.15,4643,88200
20120102,4642.1,4642.6,4637,4639.6,49750
20120102,4638.75,4639.65,4635,4635.2,36400
20120102,4635.05,4635.2,4630.3,4632,34300
20120102,4632,4640,4632,4639,46100
20120102,4639,4639,4634.15,4634.15,33550
20120102,4635.6,4639,4633.1,4636,17550
20120102,4635.05,4636.1,4630.1,4636,29700
20120102,4636,4639,4633,4638,25000
20120102,4638,4638,4634,4635,16450
20120102,4635.2,4636.5,4632.15,4634,13550
20120102,4634.75,4634.85,4632.05,4632.2,13850
20120102,4632.05,4636.4,4631.6,4636,31300
20120102,4636.25,4636.3,4634.05,4635.45,10400
20120102,4635,4638.4,4635,4637.4,32400
20120102,4637.4,4642.65,4637.4,4642,81950
20120102,4642,4643.7,4641,4643,57250
20120102,4643,4648.9,4643,4647.05,137400
20120102,4646.5,4647.1,4644.05,4644.55,65700
20120102,4644.65,4646,4644.15,4644.15,51450
20120102,4644.5,4644.5,4640,4640,60450
20120102,4639.95,4640.8,4639,4640.15,46950
20120102,4640.15,4653.55,4640.15,4649.55,145600
20120102,4649,4653.35,4647,4650.8,78250
20120102,4650.05,4654,4648.8,4649.2,52350
20120102,4648.35,4649,4645.15,4645.15,28350
20120102,4645.25,4645.25,4640.1,4644,48350
20120102,4643.95,4644.1,4640.1,4640.45,36350
20120102,4640.45,4646.7,4640.15,4645.85,23450
20120102,4646,4646.65,4640.55,4644,42750
20120102,4643.3,4644.7,4640.05,4641.95,29950
20120102,4641.35,4648.3,4641,4648.3,36400
20120102,4648.5,4651,4645.75,4647.1,42800
20120102,4647.55,4651.3,4647,4648.7,44300
20120102,4648.8,4649.3,4643.85,4644,26750
20120102,4643.15,4648.4,4643.15,4648.25,27700
20120102,4648.25,4649.4,4645.4,4647.15,18250
20120102,4647.25,4652.8,4646.4,4646.4,45050
20120102,4647,4648.35,4641.2,4641.75,40300
20120102,4641.75,4648,4641.75,4647.7,31200
20120102,4647.7,4649.4,4646.5,4647,25450
20120102,4647,4647.35,4643.7,4644.95,18800
20120102,4644.9,4648,4644.25,4645.2,18850
20120102,4646,4646,4643.1,4645.55,20400
20120102,4645.15,4647,4644.15,4644.15,18550
20120102,4644.15,4646,4641.6,4642,47450
20120102,4640.6,4642.85,4639.1,4641.4,61100
20120102,4641,4642.35,4640.2,4641.95,17750
20120102,4641.5,4645,4641.5,4643.5,31250
20120102,4644.05,4646,4643.15,4645,45950
20120102,4644.2,4647,4644,4646.5,42800
20120102,4646.5,4649.4,4646.05,4649.4,59050
20120102,4648.4,4650.9,4648,4648.3,77900
20120102,4648.05,4652,4648.05,4650,71800
20120102,4649.25,4651.1,4649,4650,57250
20120102,4650.8,4654.55,4650,4652,104400
20120102,4652,4654.65,4650.55,4650.6,76750
20120102,4651.1,4652,4649.05,4650.15,75850
20120102,4650.1,4650.15,4646.9,4647,93900
20120102,4646.4,4647.8,4646,4646.3,90000
20120102,4647,4647.45,4645.5,4645.7,87800
20120102,4645.35,4648,4645.15,4648,81400
20120102,4648,4651.4,4648,4651.1,149450
20120102,4651.5,4652.5,4650,4650.5,156400
20120103,4695,4697.4,4690,4694.25,342650
20120103,4695,4701.8,4693.05,4699.9,339450
20120103,4699.7,4707.1,4699.7,4705,290350
20120103,4705.5,4706.4,4702.5,4702.8,158550
20120103,4702.9,4706.5,4701.85,4705.5,150100
20120103,4706,4708.45,4703.25,4703.25,203450
20120103,4703.5,4704.9,4701.65,4702.1,112200
20120103,4702.1,4708.8,4702.1,4707.4,119150
20120103,4707.7,4707.7,4703.6,4705.3,75700
20120103,4705,4705,4703.5,4704,51200
20120103,4703.55,4705.3,4703,4705.3,43800
20120103,4705.3,4719.9,4705.3,4716.5,473100
20120103,4716.5,4718,4715.7,4716.25,152400
20120103,4715.9,4716.15,4714,4714,119050
20120103,4714.2,4718,4714.15,4715,105000
20120103,4714.35,4714.9,4711.1,4711.5,84250
20120103,4711.5,4713.9,4711.5,4713.2,33800
20120103,4713.8,4716,4713.2,4715.05,36000
20120103,4715.8,4718,4714.95,4715.8,66750
20120103,4715,4715.2,4711,4711.05,45050
20120103,4711.85,4712.55,4711,4711.4,29750
